unique_id,ds,AutoNBEATS
hotel_91,2023-07-20,0.8908827
hotel_91,2023-07-21,0.9204548
hotel_91,2023-07-22,0.9281163
hotel_91,2023-07-23,0.842455
hotel_91,2023-07-24,0.8855706
hotel_91,2023-07-25,0.97253287
hotel_91,2023-07-26,0.96624565
hotel_91,2023-07-27,0.88891006
hotel_91,2023-07-28,0.93322223
hotel_98,2023-07-01,0.4309971
hotel_98,2023-07-02,0.19229099
hotel_98,2023-07-03,0.13949037
hotel_98,2023-07-04,0.18616027
hotel_98,2023-07-05,0.18950428
hotel_98,2023-07-06,0.2546522
hotel_98,2023-07-07,0.3963599
hotel_98,2023-07-08,0.37474254
hotel_98,2023-07-09,0.15714481
hotel_98,2023-07-10,0.15728593
hotel_98,2023-07-11,0.17410466
hotel_98,2023-07-12,0.21351814
hotel_98,2023-07-13,0.284052
hotel_98,2023-07-14,0.37667164
hotel_98,2023-07-15,0.37116218
hotel_98,2023-07-16,0.15897816
hotel_98,2023-07-17,0.13966832
hotel_98,2023-07-18,0.19039804
hotel_98,2023-07-19,0.19998491
hotel_98,2023-07-20,0.29399127
hotel_98,2023-07-21,0.36830217
hotel_98,2023-07-22,0.34072703
hotel_98,2023-07-23,0.17781399
hotel_98,2023-07-24,0.17687762
hotel_98,2023-07-25,0.19433852
hotel_98,2023-07-26,0.20229915
hotel_98,2023-07-27,0.2769279
hotel_98,2023-07-28,0.37905607
